local_time,local_time,Date,1001_T,1001_RH,1002_T,1002_RH,1003_T,1003_RH,1004_T,1004_RH,1005_T,1005_RH
3,29,3/29/2020,21.51375,51.9984375,20.74166667,58.46885417,21.13083333,58.4625,20.33989583,58.746875,20.68708333,56.89833333
3,30,3/30/2020,19.58520833,55.908125,18.740625,62.94489583,19.1034375,63.8140625,18.07958333,63.6946875,18.04052083,63.00927083
3,31,3/31/2020,18.8325,56.53625,17.33604167,66.07895833,18.3503125,64.701875,16.85114583,66.245,16.91729167,65.09229167
4,1,4/1/2020,19.19666667,56.00520833,17.61145833,65.49364583,18.79833333,63.93958333,17.40958333,64.80916667,17.628125,63.11875
4,2,4/2/2020,17.683125,78.6059375,16.6734375,87.6725,16.7834375,89.89635417,16.455,87.64604167,16.42333333,87.1228125
4,3,4/3/2020,18.289375,69.58,17.60125,77.67572917,17.7259375,78.53885417,16.9703125,79.8325,17.17125,77.98114583
4,4,4/4/2020,13.474375,71.23885417,12.29895833,79.149375,12.4646875,81.74520833,12.12479167,78.63979167,12.04072917,78.795
4,5,4/5/2020,13.0890625,69.9065625,12.70677083,75.3325,12.82864583,77.6428125,12.5825,75.006875,12.544375,74.78489583
4,6,4/6/2020,14.84572917,60.99135417,13.5471875,69.53885417,14.01114583,70.29322917,13.18385417,69.62333333,13.18583333,68.88208333
4,7,4/7/2020,14.67635417,65.98083333,13.683125,74.26010417,13.94291667,75.4715625,13.34697917,74.2565625,13.326875,73.56427083
4,8,4/8/2020,15.5340625,68.17989583,14.7190625,75.73739583,15.28364583,76.4075,14.4340625,75.58177083,14.47041667,74.4940625
4,9,4/9/2020,16.66447917,64.57177083,15.33510417,74.9521875,16.46989583,73.3715625,14.72010417,75.52729167,14.88552083,73.999375
4,10,4/10/2020,18.085,63.245625,17.54572917,70.00895833,17.6771875,71.50364583,16.7953125,71.9375,16.83625,71.176875
4,11,4/11/2020,14.86229167,59.96895833,14.19989583,66.3796875,14.46395833,68.05354167,13.96114583,66.01677083,13.91166667,65.47979167
4,12,4/12/2020,13.72958333,63.96541667,12.98,70.92979167,13.23583333,72.58135417,12.63041667,70.9746875,12.62552083,70.14822917
4,13,4/13/2020,15.62416667,57.63739583,14.90645833,64.90302083,15.32760417,65.66979167,14.06291667,66.465,14.07166667,65.5903125
4,14,4/14/2020,18.1071875,55.66947917,16.96895833,64.17020833,17.66072917,62.67052083,16.02864583,66.13916667,16.48510417,63.5059375
4,15,4/15/2020,20.58614583,46.89697917,19.5765625,54.18552083,20.41302083,52.64875,18.5528125,56.6525,19.19114583,53.6434375
4,16,4/16/2020,18.47197917,54.18552083,17.3809375,61.87239583,17.76541667,62.4075,16.9809375,62.16114583,17.00677083,61.32197917
4,17,4/17/2020,15.62260417,56.2325,14.62729167,63.89760417,14.93052083,64.81166667,14.38489583,63.6590625,14.41395833,62.75302083
4,18,4/18/2020,14.9978125,60.526875,14.24208333,67.92854167,14.524375,69.04791667,13.9528125,67.92875,13.95708333,67.07770833
4,19,4/19/2020,16.07177083,50.8603125,14.91541667,59.27677083,15.53895833,58.6459375,14.26520833,59.9078125,14.426875,58.50177083
4,20,4/20/2020,16.12177083,56.05604167,15.87197917,60.9215625,16.00854167,62.47885417,15.56104167,61.00645833,15.57114583,60.06354167
4,21,4/21/2020,15.67385417,52.34083333,14.22927083,61.18427083,14.7425,61.26260417,13.94510417,61.00958333,14.05989583,59.70229167
4,22,4/22/2020,16.18739583,60.42833333,15.30927083,68.06145833,15.62479167,69.07864583,14.88145833,68.45364583,14.85479167,67.6503125
4,23,4/23/2020,16.62125,58.8296875,15.75989583,66.4415625,15.975625,67.3209375,15.38395833,67.05666667,15.5540625,65.56041667
4,24,4/24/2020,18.98625,55.13677083,17.98510417,62.37729167,18.7165625,62.26291667,17.30647059,69.00941176,17.38010417,62.3190625
4,25,4/25/2020,17.6615625,59.43947917,16.73864583,67.08854167,16.91010417,68.4715625,,,16.45083333,66.210625
4,26,4/26/2020,15.8675,70.15541667,15.015,77.7153125,15.1725,79.53,,,14.7540625,77.38947917
4,27,4/27/2020,14.58322917,56.87822917,12.4725,68.33329545,13.7640625,65.6009375,,,12.43054348,66.59434783
4,28,4/28/2020,11.98978723,65.26255319,10.56021277,75.48553191,14.3740625,68.26322917,,,13.63427083,67.64791667
4,29,4/29/2020,,,,,13.9365625,87.59802083,,,13.56364583,85.45604167
4,30,4/30/2020,,,,,10.57,78.40326087,,,10.28458333,76.2284375
5,1,5/1/2020,,,,,9.777708333,76.51604167,,,9.523645833,73.24135417
5,2,5/2/2020,,,,,10.86697917,76.70802083,,,10.57552083,72.8128125
5,3,5/3/2020,,,,,12.07604167,69.54302083,,,11.55239583,66.935
5,4,5/4/2020,,,,,12.00739583,82.80364583,,,11.433125,80.77635417
5,5,5/5/2020,,,,,13.88125,75.25885417,,,12.84375,75.10635417
5,6,5/6/2020,,,,,15.9234375,67.01385417,,,15.36510417,65.4796875
5,7,5/7/2020,,,,,18.27635417,59.3428125,,,17.7453125,58.05354167
5,8,5/8/2020,,,,,16.2103125,64.50291667,,,15.61552083,63.05541667
5,9,5/9/2020,,,,,12.19479167,72.8825,,,11.86270833,70.14270833
5,10,5/10/2020,,,,,10.8790625,68.57447917,,,10.18854167,66.63052083
5,11,5/11/2020,,,,,12.53260417,69.66875,,,11.51083333,69.94197917
5,12,5/12/2020,13.56580645,62.45967742,13.10322581,68.97967742,12.56864583,71.22635417,12.82741935,69.06419355,12.42791667,67.95510417
5,13,5/13/2020,12.75108696,64.87097826,11.866875,72.43739583,12.34927083,72.98291667,11.56770833,72.108125,11.56760417,71.433125
5,14,5/14/2020,11.86739583,62.91229167,10.55854167,72.31708333,10.91083333,73.40677083,10.28989583,72.10697917,10.28177083,71.27583333
5,15,5/15/2020,11.41554348,61.20086957,9.694347826,72.91391304,10.64052083,71.93354167,9.214895833,73.05010417,9.309583333,71.99052083
5,16,5/16/2020,12.40197917,59.58875,10.41416667,72.06739583,11.305,71.35875,9.761458333,73.06125,10.01083333,71.50791667
5,17,5/17/2020,12.38520833,58.8996875,10.64979167,70.6575,11.89072917,68.630625,10.12229167,70.9465625,10.295,69.4765625
5,18,5/18/2020,13.54173913,60.43054348,11.300625,73.34395833,12.41927083,71.61239583,10.43041667,75.3028125,11.00166667,72.35114583
5,19,5/19/2020,14.65177083,63.04947917,14.01979167,70.28395833,14.42958333,70.75572917,13.4921875,71.37666667,13.85833333,69.14677083
5,20,5/20/2020,13.16479167,63.88458333,12.59802083,69.93291667,12.98645833,70.46979167,12.356875,70.026875,12.30458333,69.7584375
